"","nzffdRecordNumber","institutionRecordNumber","eventDate","eventTime","institution","samplingPurpose","waterBody","waterBodyType","waterPermanence","site","catchmentNumber","catchmentName","eastingNZTM","northingNZTM","decimalLongitude","decimalLatitude","recSegment","minimumElevation","distanceOcean","siteTidal","siteLandlocked","downstreamBarrier","eventLocationRemarks","siteReachLength","siteAverageWidth","minimumSampledDepth","maximumSampledDepth","waterLevel","waterColour","waterClarity","clarityMethod","waterTemperature","waterConductivity","waterDissolvedOxygenPercent","waterDissolvedOxygenPPM","waterPH","waterSalinity","habitatFlowPercent","habitatSubstratePercent","habitatInstreamCoverPresent","habitatRiparianVegPercent","samplingMethod","samplingProtocol","EfmNumberOfPasses","EfmVoltage","EfmPulseRate","EfmPulseRateWidth","EfmAnodeSize","EfmMinutes","EfmArea","NetsTrapsTotalNumber","NetsTrapsBaited","NetsTrapsMeshSize","NetsTrapsDayNight","NetsTrapsAverageSetTime","ObservationArea","taxonName","taxonCommonName","taxonRemarks","totalCount","present","soughtNotDetected","occurrenceRemarks","minLength","maxLength","indLengths","dataVersion"
"12",1084,"","1965-08-21","day","NIWA","","Unnamed stream Days Bay","Not Entered","Perennial",NA,"297.150","Wellington Hbr",1759777,5428486,-41.279263,174.90784,9264512,40,0.1,"n","u","u","FSC.",180,NA,NA,NA,"Unknown","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Electric fishing - Type unknown","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Galaxias maculatus","Inanga","",NA,"true","false",NA,NA,NA,"","V1"
"13",20437,"","2000-11-13","20:30","Department of Conservation Wellington","","Pararaki Stream","Not Entered","Perennial",NA,"287.000","Pararaki S",1791371,5402781,-41.503752,175.292947,9268352,170,10.7,"n","u","u","",NA,6,NA,1,"Low","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Coarse gravel:25, Boulders (> 257 mm):25, Cobbles (64-257 mm):40, Fine gravel:10","Wood/instream debris:y, Bank vegetation:y","Riffle:35, Pool:20, Rapid:5, Run:35, Backwater:5","Exposed bed:15, Raupo/flax:10, Scrub:25, Native forest:50","Observation - Spotlighting not captured to ID","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,3200,"Galaxias argenteus","Giant kokopu","",5,"false","false",NA,NA,NA,"","V1"
"14",8329,"","1988-02-04","14:15","Fish and Game West Coast","","Bray Creek","Not Entered","Perennial",NA,"914.120","Grey R",1468339,5304562,-42.400082,171.400188,12071356,30,24.1,"n","u","u","CV.",50,4,NA,0.6,"Unknown","Colourless",NA,NA,18,NA,NA,NA,NA,NA,"Boulders (> 257 mm):60, Coarse gravel:20, Fine gravel:20","","Pool:50, Riffle:50","","Electric fishing - Type unknown","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Cheimarrichthys fosteri","Torrentfish","",1,"false","false",NA,100,NA,"","V1"
"15",50833,"","1972-05-17","11:40","NIWA","","Alton Burn","Not Entered","Perennial",NA,"797.140","Waiau R",1189197,4879834,-46.111278,167.683722,15303931,40,14.3,"n","u","u","",45,NA,NA,NA,"Unknown","",NA,NA,9.3,NA,NA,NA,5.3,NA,"","","","","Electric fishing - Type unknown","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Salmo trutta","Brown trout","",4,"false","false",NA,NA,NA,"","V1"
"16",6699,"","1984-07-13","day","NIWA","","Mahitahi River","Not Entered","Perennial",NA,"877.000","Mahitahi R",1324707,5166175,-43.606504,169.588875,12132824,1,0.7,"y","u","u","",100,20,NA,0.5,"Medium","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Fine gravel:15, Boulders (> 257 mm):10, Coarse gravel:15, Cobbles (64-257 mm):20, Sand (1-2 mm):40","Macrophytes-algae:n, Wood/instream debris:n, Bank vegetation:n, Undercut banks:n","Backwater:100","Exposed bed:100","Other net - Seine","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Gobiomorphus cotidianus","Common bully","",1,"false","false",NA,NA,NA,"","V1"
"17",109388,"3411","2015-07-08","","Department of Conservation Bay of Plenty","","Waitarere Stream trib of Hamurana Stream","Not Entered","Unknown",NA,"146.070","Kaituna River",1885987,5785791,-38.030474,176.258276,4080426,288,59.74,"u","u","u","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Traps - Gee minnow","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Nil","No species recorded","",NA,"false","false",NA,NA,NA,"","V1"
"18",488,"","1980-03-14","10:15","NIWA","","Rakaia River","Not Entered","Perennial",NA,"685.000","Rakaia R",1535716,5139400,-43.895701,172.199597,13147497,3,0.3,"n","u","u","C.",NA,NA,NA,0.3,"Medium","Colourless",NA,NA,14.5,NA,NA,NA,NA,NA,"Boulders (> 257 mm):20, Coarse gravel:80","","Riffle:100","","Electric fishing - Type unknown","Unknown",1,NA,NA,NA,"",NA,100,NA,"","",NA,NA,NA,"Cheimarrichthys fosteri","Torrentfish","",NA,"true","false",NA,NA,NA,"","V1"
"19",4585,"","1977-10","day","NIWA","","Whangaparaoa River","Not Entered","Perennial",NA,"174.000","Whangaparaoa R",2046998,5819287,-37.664744,178.066578,4061804,80,18.5,"n","u","u","SV.",NA,NA,NA,NA,"Unknown","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Electric fishing - Type unknown","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Anguilla dieffenbachii","Longfin eel","",NA,"true","false",NA,NA,NA,"","V1"
"20",29455,"","2008-04-02","11:51","Department of Conservation Otago","","Edward Stream tributary","Not Entered","Perennial",NA,"711.392","Waitaki R",1405648,5129053,-43.965973,170.577287,13152401,910,192.6,"n","u","y","",NA,1,NA,0.2,"Medium","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Boulders (> 257 mm):2, Coarse gravel:5, Fine gravel:70, Cobbles (64-257 mm):5, Sand (1-2 mm):18","Undercut banks:y, Wood/instream debris:y, Bank vegetation:y, Macrophytes-algae:y","Riffle:40, Pool:5, Run:55","Scrub:5, Grass/tussock:95","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,75,NA,"","",NA,NA,NA,"Galaxias macronasus","Bignose galaxias","",55,"false","false",NA,30,74,"","V1"
"21",14868,"","2001-03-08","14:15","NIWA","","Cribb Creek tributary","Not Entered","Perennial",NA,"634.040","Kahutara R",1641983,5307434,-42.384246,173.510012,13070212,120,11.1,"n","u","u","",NA,1,NA,NA,"Low","",NA,NA,NA,NA,NA,NA,NA,NA,"","","Pool:100","","Other net - Push net","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Galaxias maculatus","Inanga","",NA,"true","false",NA,NA,NA,"","V1"
"22",15413,"","1997-09-19","11:00","Department of Conservation Canterbury","","Papaka Stream","Not Entered","Perennial",NA,"698.020","Washdyke C",1452948,5092886,-44.302406,171.156461,13170929,50,14.2,"n","u","u","",NA,2,NA,1.5,"Medium","Tea coloured or brown",NA,NA,NA,NA,NA,NA,NA,NA,"Coarse gravel:10, Mud:60, Sand (1-2 mm):20, Fine gravel:10","Wood/instream debris:y, Macrophytes-algae:y, Bank vegetation:y, Undercut banks:y","Backwater:40, Still:60","Raupo/flax:1, Grass/tussock:95, Scrub:4","Traps - Gee minnow","Unknown",NA,NA,NA,NA,"",NA,NA,1,"","",NA,NA,NA,"Neochanna burrowsius","Canterbury mudfish","",2,"false","false",NA,70,80,"","V1"
"23",13735,"","1994-01-02","10:00","Department of Conservation Wanganui","","Manawatu River tributary","Not Entered","Perennial",NA,"325.000","Manawatu R",1835492,5534899,-40.303252,175.770938,7236941,70,98.6,"n","u","u","",50,0.6,NA,0.5,"Low","Colourless",NA,NA,15,NA,NA,NA,8,NA,"Coarse gravel:100","Undercut banks:y, Bank vegetation:n, Wood/instream debris:y, Macrophytes-algae:n","Pool:40, Run:60","Raupo/flax:20, Native forest:60, Exposed bed:20","Electric fishing - Type unknown","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Anguilla dieffenbachii","Longfin eel","",NA,"true","false",NA,NA,NA,"","V1"
"24",16799,"","1997-12-16","","Department of Conservation Bay of Plenty","","Kaituna River","Not Entered","Perennial",NA,"146.000","Kaituna R",1897804,5816725,-37.748345,176.379934,4062837,1,3.8,"y","u","u","",NA,NA,NA,NA,"Low","",NA,NA,NA,NA,NA,NA,NA,NA,"Mud:100","","Still:100","","Other net - combination of nets and traps","Unknown",NA,NA,NA,NA,"",NA,NA,19,"","",NA,NA,NA,"Carassius auratus","Goldfish","",NA,"true","false",NA,NA,NA,"","V1"
"25",11686,"","1992-11-19","11:00","Private Individuals","","Canoe Stream","Not Entered","Perennial",NA,"092.083","Waihou R",1836960,5877653,-37.217542,175.670554,3046705,70,20.7,"n","u","u","",100,1.5,NA,1.1,"Medium","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Cobbles (64-257 mm):15, Coarse gravel:35, Boulders (> 257 mm):15, Fine gravel:30, Sand (1-2 mm):5","Bank vegetation:y, Wood/instream debris:y, Undercut banks:n, Macrophytes-algae:n","Run:50, Pool:20, Riffle:10, Rapid:20","Grass/tussock:100","Electric fishing - Bank generator or mains","Unknown",1,NA,NA,NA,"",NA,150,NA,"","",NA,NA,NA,"Cheimarrichthys fosteri","Torrentfish","",NA,"true","false",NA,60,100,"","V1"
"26",36056,"","2012-02-08","11:08","Waikato Regional Council","","Manganui River tributary","Not Entered","Unknown",NA,"408.010","Awakino R",1749342,5733840,-38.53132,174.713364,3120285,150,28.4,"n","u","u","Missed 5 fish  2 eel 1 bully",150,2.2,NA,NA,"","",NA,NA,15.4,0.1,NA,NA,NA,NA,"","","","","Electric fishing - Bank generator or mains","Unknown",1,NA,NA,NA,"",NA,332,NA,"","",NA,NA,NA,"Galaxias postvectis","Shortjaw kokopu","",2,"false","false",NA,205,211,"","V1"
"27",106879,"1033","2010","","Golder Associates Ltd","","Wilberforce River","Not Entered","Unknown",NA,"685.080","Rakaia R",1472500,5204900,-43.297931,171.428139,13115303,413,111.8,"n","u","u","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Electric fishing - Backpack","Unknown",NA,NA,NA,NA,"",NA,50,NA,"","",NA,NA,NA,"Salmo trutta","Brown trout","",2,"false","false",NA,NA,NA,"","V1"
"28",29528,"","2008-06-05","12:00","Waikato Regional Council","","Waitekuri River","Not Entered","Perennial",NA,"112.000","Waitekuri R",1828735,5929303,-36.754469,175.562287,3036594,50,5.7,"n","u","n","",100,1.2,NA,0.4,"Medium","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Coarse gravel:20, Boulders (> 257 mm):20, Mud:10, Fine gravel:10, Cobbles (64-257 mm):40","Bank vegetation:y, Macrophytes-algae:n, Wood/instream debris:y, Undercut banks:n","Pool:10, Run:40, Riffle:50","Scrub:100","Electric fishing - Bank generator or mains","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Anguilla dieffenbachii","Longfin eel","",2,"false","false",NA,250,420,"","V1"
"29",20864,"","2005-04-08","14:00","Boffa Miskell Ltd","","Waiorahi Stream","Not Entered","Perennial",NA,"144.010","Waimapu S",1876787,5817892,-37.74444,176.141298,4062247,5,3.3,"n","u","n","",NA,4,NA,2,"Medium","Tea coloured or brown",NA,NA,NA,NA,NA,NA,NA,NA,"Sand (1-2 mm):80, Fine gravel:20","Undercut banks:y, Wood/instream debris:n, Macrophytes-algae:y, Bank vegetation:y","Run:100","Scrub:20, Grass/tussock:80","Other net - combination of nets and traps","Unknown",NA,NA,NA,NA,"",NA,NA,5,"","",NA,NA,NA,"Galaxias argenteus","Giant kokopu","",1,"false","false",NA,320,NA,"","V1"
"30",16200,"","1996-10-02","14:30","Department of Conservation Otago","","Big Creek","Not Entered","Perennial",NA,"746.000","Big C",1380162,4884307,-46.15934,170.152671,14301876,3,0.1,"n","u","u","",NA,1.5,NA,0.9,"Low","Tea coloured or brown",NA,NA,NA,NA,NA,NA,NA,NA,"Coarse gravel:30, Boulders (> 257 mm):25, Bedrock:15, Cobbles (64-257 mm):30","Wood/instream debris:y, Undercut banks:n, Macrophytes-algae:y, Bank vegetation:n","Pool:50, Riffle:50","Scrub:20, Grass/tussock:80","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,30,NA,"","",NA,NA,NA,"Gobiomorphus cotidianus","Common bully","",NA,"true","false",NA,50,140,"","V1"
"31",22810,"","2006-11-14","09:00","NIWA","","Lake Rotorangi","Not Entered","Perennial",NA,"342.000","Patea R",1731404,5625687,-39.508409,174.528476,6200821,75,57.8,"n","u","y","Fine mesh fykes spread throughout middle lake.",0,NA,NA,NA,"Unknown","",NA,NA,NA,NA,NA,NA,NA,NA,"","","Still:100","","Fyke net - Fyke net including minifykes","Unknown",NA,NA,NA,NA,"",NA,NA,23,"","",NA,NA,NA,"Perca fluviatilis","Perch","",12,"false","false",NA,145,260,"","V1"
"32",10382,"","1990-05-31","14:15","NIWA","","Devils Creek","Not Entered","Perennial",NA,"932.297","Buller R",1504435,5334046,-42.139878,171.843551,12058183,220,94.3,"n","u","u","",115,6,NA,1,"Medium","",NA,NA,10.5,0.06,NA,NA,NA,NA,"Coarse gravel:30, Fine gravel:50, Cobbles (64-257 mm):20","Macrophytes-algae:n, Wood/instream debris:n, Undercut banks:y, Bank vegetation:y","Pool:2, Riffle:70, Run:28","Scrub:100","Electric fishing - Type unknown","Unknown",2,NA,NA,NA,"",NA,690,NA,"","",NA,NA,NA,"Anguilla australis","Shortfin eel","",1,"false","false",NA,352,NA,"","V1"
"33",2865,"","1986-01-31","10:22","Fisheries Ministry North","","Whangamarino River","Not Entered","Perennial",NA,"434.130","Waikato R",1784062,5869653,-37.301548,175.076777,3048550,5,46.1,"n","u","u","V.",2000,NA,NA,3.5,"High","Tea coloured or brown",NA,NA,21,0.11,NA,NA,NA,NA,"Mud:100","","Run:60, Still:40","","Other net - combination of nets","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Galaxias maculatus","Inanga","",2,"false","false",NA,NA,NA,"","V1"
"34",23906,"","2004-02-09","01:35","Enviro Research Ltd","","Wharepapa Stream","Not Entered","Perennial",NA,"118.010","Waiwawa R",1842605,5906275,-36.958377,175.72486,3040713,140,10,"n","u","n","",NA,1.5,NA,0.6,"Medium","Colourless",NA,NA,17,NA,NA,NA,NA,NA,"Coarse gravel:23, Mud:5, Cobbles (64-257 mm):55, Sand (1-2 mm):7, Boulders (> 257 mm):10","Bank vegetation:y, Undercut banks:y, Macrophytes-algae:y, Wood/instream debris:y","Cascade:35, Run:22, Backwater:3, Riffle:23, Pool:15, Still:2","Native forest:3, Exotic forest:20, Grass/tussock:2, Scrub:45, Raupo/flax:10, Other:20","Observation - Spotlighting not captured to ID","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,120,"Paranephrops","Koura","",NA,"true","false",NA,NA,NA,"","V1"
"35",19491,"","1999-06-25","","Massey University","","Unnamed lake","Not Entered","Perennial",NA,"329.000","Koitiata S",1786275,5558996,-40.098729,175.185295,0,25,4.7,"n","u","u","",NA,NA,NA,NA,"Medium","",NA,NA,NA,NA,NA,NA,NA,NA,"Mud:100","Macrophytes-algae:y, Bank vegetation:n, Undercut banks:n, Wood/instream debris:n","Still:100","Exotic forest:50, Raupo/flax:50","Other net - combination of nets and traps","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Anguilla australis","Shortfin eel","",NA,"true","false",NA,NA,NA,"","V1"
"36",30588,"","2009-04-01","day","Wellington Regional Council","","Mangatarere Stream tributary","Not Entered","Unknown",NA,"292.243","Ruamahanga R",1806170,5464053,-40.94866,175.449435,9255930,245,107.8,"n","u","u","",150,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Gobiomorphus breviceps","Upland bully","",2,"false","false",NA,43,45,"","V1"
"37",105231,"1529","2004-02-18","12:19","Waikato University","","Unnamed River Tauranga Harbour","Not Entered","Unknown",NA,"142.000","Tauranga Harbour",1864166,5828711,-37.650787,175.994322,4058111,26,0,"u","u","u","",441,NA,NA,3,"","",NA,NA,13.1,0.98,NA,NA,NA,NA,"","","","","Electric fishing - Boat","Unknown",NA,NA,NA,NA,"",NA,2274,NA,"","",NA,NA,NA,"Anguilla australis","Shortfin eel","",8,"false","false",NA,NA,NA,"","V1"
"38",19447,"","1999-09-29","15:00","Taranaki Regional Council","","Te Henui Stream","Not Entered","Perennial",NA,"391.000","Te Henui S",1694615,5674348,-39.074849,174.093796,6164378,20,4.4,"n","u","u","",NA,12,NA,0.8,"Medium","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Fine gravel:10, Coarse gravel:10, Cobbles (64-257 mm):50, Boulders (> 257 mm):10, Sand (1-2 mm):20","Wood/instream debris:n, Undercut banks:n, Bank vegetation:y, Macrophytes-algae:n","Riffle:60, Run:25, Pool:15","Native forest:100","Electric fishing - Type unknown","Unknown",1,NA,NA,NA,"",NA,200,NA,"","",NA,NA,NA,"Gobiomorphus huttoni","Redfin bully","",NA,"true","false",NA,NA,NA,"","V1"
"39",22969,"","2007-03-31","09:00","Auckland Regional Council","","Lake Kawaupaku","Not Entered","Perennial",NA,"446.000","Taimana S",1729816,5915855,-36.894365,174.456942,2038567,80,1.1,"n","u","u","",NA,NA,NA,21,"Unknown","Green",NA,NA,20,NA,NA,NA,NA,NA,"","","Still:100","","Gill net - Single mesh","Unknown",NA,NA,NA,NA,"",NA,NA,40,"","",NA,NA,NA,"Tinca tinca","Tench","",4,"false","false",NA,NA,NA,"","V1"
"40",10889,"","1989-03-07","15:00","Fish and Game Otago","","Shag River","Not Entered","Perennial",NA,"726.000","Shag R",1423148,4962272,-45.470671,170.737512,14250832,5,8.7,"n","u","u","below sewage farm",30,4,NA,0.5,"Low","Green",NA,NA,16,NA,NA,NA,NA,NA,"Coarse gravel:40, Cobbles (64-257 mm):20, Fine gravel:40","Bank vegetation:n, Undercut banks:n, Macrophytes-algae:y, Wood/instream debris:n","Riffle:40, Run:20, Pool:40","Scrub:50, Exposed bed:50","Electric fishing - Type unknown","Unknown",2,NA,NA,NA,"",NA,120,NA,"","",NA,NA,NA,"Anguilla australis","Shortfin eel","",3,"false","false",NA,117,230,"","V1"
"41",12805,"","1992-11-27","23:00","Private Individuals","","Patersons Ponds","Not Entered","Perennial",NA,"711.390","Waitaki R",1394235,5118367,-44.058983,170.431006,13157152,625,173.1,"n","u","u","",1400,50,NA,1.5,"Medium","Colourless",NA,NA,17,NA,NA,NA,NA,NA,"Mud:90, Cobbles (64-257 mm):10","Bank vegetation:y, Wood/instream debris:n, Undercut banks:n, Macrophytes-algae:y","Riffle:1, Still:99","Scrub:50, Raupo/flax:50","Other net - Set net","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Gobiomorphus breviceps","Upland bully","",NA,"true","false",NA,NA,NA,"","V1"
"42",104073,"540","2014-08-27","","Otago University","","Powerhouse Stream tributary","Not Entered","Unknown",NA,"693.144","Rangitata River",1432544,5174910,-43.55997,170.926631,13128597,626,105.18,"u","u","u","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,140,NA,"","",NA,NA,NA,"Galaxias vulgaris","Canterbury galaxias","",NA,"true","false",NA,NA,NA,"","V1"
